Project Name,Amount Raised ($),Backers,Goal ($),Funded Date,Last Update,Category,Combined Description,PD_Issue,Kickstarter URL,Source 1,Source 2
ZionEyez Eyez," $ 343,415 ","2,106"," $ 55,000 ",2011-07-31,2012-04-15,Technology/Wearables,"Seattle team promised HD video recording glasses with Facebook streaming by Winter 2011. Last substantive update April 2012. Rebranded to 'Zeyez' claiming partnership delays. Photo of founders on Thailand beach surfaced after funding. Backers formed 'ZionKick' forum calling it scam. No products ever delivered to any of 2,106 backers.

Product Development Failure Reason: Attempted to build Google Glass-equivalent product with undergraduate team on $343K budget. Underestimated engineering complexity of miniaturizing HD camera, WiFi, battery into eyeglass frame. No working prototype demonstrated post-funding.","NO-PROTOTYPE, SYSTEM-INTEGRATION",https://www.kickstarter.com/projects/zioneyez/eyeztm-by-zioneyez-hd-video-recording-glasses-for,https://www.geekwire.com/2013/kickstarters-biggest-flops-dead/,https://www.networkworld.com/article/748656/software-when-crowdfunding-goes-bad-the-story-of-zioneyez.html
CST-01 Thinnest Watch," $ 1,026,293 ","7,658"," $ 200,000 ",2013-02-22,2016-05-01,Technology/Wearables,"Chicago company promised 0.8mm thin E-Ink watch. Key battery component discontinued mid-project requiring custom solution. Manufacturing yield only 55% - cost per unit ballooned to $260+ vs $129 pledge. Flextronics manufacturing partner walked away. Only 80 units shipped of 8,243 owed. Filed bankruptcy May 2016 with $30K assets vs $891,563 liabilities.

Product Development Failure Reason: Extreme form factor (0.8mm) required custom battery solution when supplier discontinued component. 55% manufacturing yield made unit economics impossible ($260 cost vs $129 pledge). Design prioritized thinness over manufacturability.","MANUFACTURABILITY, SUPPLY-CHAIN, SCALE-UP",https://www.kickstarter.com/projects/1655017763/cst-01-the-worlds-thinnest-watch,https://www.slashgear.com/cst-01-kickstarter-thinnest-watch-maker-goes-bankrupt-02438668/,https://www.pcworld.com/article/417926/cst-01-kickstarter-thin-watch.html
AGENT Smartwatch," $ 1,012,742 ","5,685"," $ 100,000 ",2013-06-20,2016-04-30,Technology/Wearables,"Partnership between Secret Labs (software) and House of Horology (hardware) collapsed over watch case manufacturing disputes. Two years after promised December 2013 delivery, 5,685 backers still empty-handed. Secret Labs sold Netduino brand to Wilderness Labs December 2016. Backers organized legal action via FundedJustice. No watches ever delivered.

Product Development Failure Reason: Hardware/software partnership between Secret Labs and House of Horology broke down over manufacturing disputes. Neither party had full product development capability alone. Project management failures cited by backers who investigated.","MANUFACTURABILITY, SYSTEM-INTEGRATION",https://www.kickstarter.com/projects/secretlabs/agent-the-worlds-smartest-watch,https://www.wareable.com/smartwatches/meet-the-kickstarter-crusader-martin-calsyn,https://techcrunch.com/2013/06/16/backed-or-whacked-driving-an-agent-of-smartwatch-change/
Pirate3D Buccaneer," $ 1,438,765 ","3,520"," $ 100,000 ",2013-06-29,2016-10-07,Technology/3D Printing,"Singapore startup by recent graduates raised record $1.44M for $347 consumer 3D printer. First printers due February 2014. By September 2014, only 200 shipped. Company sold retail while 60% of backers waited. October 2015: admitted unable to fulfill remaining orders. Raised additional $2M from investors but still failed. Only 40% of backers received printers, many defective.

Product Development Failure Reason: Recent graduates with no manufacturing experience promised $347 printer competing with $2,200 Makerbot. Price point made profitable manufacturing impossible. Founders admitted design 'was designed by 3 fresh graduates with no training in industrial design and manufacturing.'","UNIT-ECONOMICS, SCALE-UP",https://www.kickstarter.com/projects/pirate3d/the-buccaneer-the-3d-printer-that-everyone-can-use,https://techcrunch.com/2015/10/14/a-1-5m-kickstarter-project-fails-leaving-most-backers-without-their-3d-printer/,https://3dprint.com/100792/pirate3d-buccaneer-sinks/
Kreyos Meteor Smartwatch," $ 1,500,000 ","11,722"," $ 100,000 ",2013-08-12,2014-11-01,Technology/Wearables,"Raised $1.5M (15x goal) on Indiegogo. Shipped 10 months late with severe hardware/software issues - voice/gesture controls didn't work, couldn't keep time. Company deleted negative reviews, changed T&Cs to deny refunds. Closed 2014.

Product Development Failure Reason: Zero engineers on staff - entire team was marketing. No working prototype at campaign launch. Outsourced to ODM (Viewcooper) with no oversight. Speaker holes muffled audio. Waterproof claim failed on shower. Battery: 24hr vs 7-day claim. Watch couldn't keep time without Bluetooth. Pedometer broken by vibrate motor.","NO-PROTOTYPE, SYSTEM-INTEGRATION, QUALITY-CONTROL",https://www.indiegogo.com/projects/kreyos-the-only-smartwatch-with-voice-gesture-control ,https://en.wikipedia.org/wiki/Kreyos ,
Peachy Printer," $ 587,357 ","4,420"," $ 50,000 ",2013-10-24,2016-05-11,Technology/3D Printing,"Canadian startup promised revolutionary $100 resin 3D printer. Raised $650K CAD (~$587K USD). Co-founder David Boe embezzled $320K to build personal house. Grayston discovered theft in 2014, kept quiet hoping for repayment. Only $111K recovered. Police investigation launched. Company collapsed May 2016. Zero printers shipped to any of 4,420 backers despite reaching 70% completion on first 600 units.

Product Development Failure Reason: No corporate bank account at campaign end - funds deposited to co-founder's personal account. Zero financial controls or oversight. Technical product was viable (working prototype existed) but business structure enabled embezzlement.",BUSINESS-FAILURE,https://www.kickstarter.com/projects/117421627/the-peachy-printer-the-first-100-3d-printer-and-sc,https://www.vice.com/en/article/how-a-promising-kickstarter-campaign-devolved-into-embezzlement-allegations/,https://3dprint.com/133842/peachy-printer-embezzlement/
Smarty Ring," $ 300,000 ","3,000"," $ 40,000 ",2014-03-01,2015-09-01,Technology/Wearables,"Indian startup raised $300K+ across multiple Indiegogo campaigns for smart notification ring. No working prototype - only CGI renders. Promised April 2014 delivery, went silent for 9+ months, then promised ""working prototype"" in 2015. Never delivered any product to backers.

Product Development Failure Reason: Ring form factor couldn't house sufficient battery for claimed features. Bluetooth, LED display, vibration motor couldn't fit in ring size. Thermal issues with electronics at skin contact. Display visibility in sunlight impossible at that scale.","MANUFACTURABILITY, POWER-SYSTEM, SYSTEM-INTEGRATION",https://www.indiegogo.com/en/projects/smartyring/smarty-ring--3/comments  ,https://www.wareable.com/wearable-tech/worse-for-wear-the-worst-wearable-crowdfunding-campaigns-865 ,
Coolest Cooler," $ 13,285,226 ","62,642"," $ 50,000 ",2014-08-29,2019-12-06,Design/Product Design,"Manufacturing costs exceeded $185 pledge price. Company sold coolers on Amazon for $450+ while 20,000+ backers waited. Oregon DOJ investigation led to 2017 settlement. Tariff increases on Chinese imports proved fatal. Shut down December 2019 with 20,000+ of 62,642 backers never receiving product. Regarded as Kickstarter's largest failure.

Product Development Failure Reason: Feature-packed design ($185 pledge) had bill of materials exceeding sale price. Tariffs on Chinese manufacturing added 25% to costs. Classic DFM failure - designed for crowdfunding video appeal, not manufacturing reality.","MANUFACTURABILITY, UNIT-ECONOMICS, SUPPLY-CHAIN",https://www.kickstarter.com/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually,https://en.wikipedia.org/wiki/Coolest_Cooler,https://www.geekwire.com/2019/coolest-cooler-one-popular-kickstarter-campaigns-ever-shutting/
Skully AR-1 Helmet," $ 2,500,000 ","3,300"," $ 250,000 ",2014-09-09,2016-08-05,Technology/Wearables,"Raised $2.5M on Indiegogo + $11M VC. Founders Marcus & Mitchell Weller sued for using funds as ""personal piggy bank"" - luxury cars, trips, strip clubs. Only ~200 of 3,300 helmets shipped. Chapter 7 bankruptcy Aug 2016. Backers got nothing.

Product Development Failure Reason: DFM issues with electronics during production ramp required complete mainboard redesign. Failed EMC testing, forcing FCC re-certification. Transition from prototype to mass production stalled. Only 20-100 units shipped before bankruptcy.","MANUFACTURABILITY, REGULATORY",https://www.indiegogo.com/projects/skully-ar-1-the-world-s-smartest-motorcycle-helmet ,https://www.revzilla.com/common-tread/company-that-revived-gas-gas-tries-to-bring-back-skully-helmets?srsltid=AfmBOoq7W72tlbwXkSbiPpYNsx6Fd6CW4f4BBL1bJXVJ18tnPrER1Vgf ,
Ritot Projection Watch," $ 1,400,000 ","7,000"," $ 50,000 ",2014-09-26,2016-04-01,Technology/Wearables,"Raised $1.4M on Indiegogo for ""first projection watch."" No working prototype existed. Technology physically impossible - pico projector cannot project visible image in daylight at that angle. Founders used fake names, claimed San Francisco but were in Ukraine. Never delivered any product.

Product Development Failure Reason: Projection onto skin required laser/projector technology too large for watch form factor. Physics of pico projection at claimed brightness impossible at device size. Photoshopped marketing images. Founders used fake identities.","PHYSICS-IMPOSSIBLE, NO-PROTOTYPE",https://techcrunch.com/2014/09/30/the-impossible-projection-watch-hits-1-4-million-in-crowdfunding/ ,https://www.youtube.com/watch?v=7OfiUrqdsVU&t=99s ,
ZANO Drone," $ 3,519,028 ","12,075"," $ 187,500 ",2015-01-08,2015-11-18,Technology/Hardware,"Company filed for liquidation in November 2015 after shipping only 600 barely functional units out of 15,000 orders. Promotional video was faked using a DJI Inspire drone. Over-ambitious stretch goals and financial mismanagement led to collapse.

Product Development Failure Reason: Promotional video faked using DJI Inspire. Stretch goals (thermal imaging, facial recognition) exceeded team capability. Propellers from China failed testing. Only 4 of 15,000 Kickstarter units delivered. Team lacked technical competency per Kickstarter investigation.","SYSTEM-INTEGRATION, NO-PROTOTYPE",https://www.kickstarter.com/projects/torquing/zano-autonomous-intelligent-swarming-nano-drone ,https://medium.com/kickstarter/how-zano-raised-millions-on-kickstarter-and-left-backers-with-nearly-nothing-85c0abe4a6cb ,
